"T_Chapitre","n","avg_nb_sem","avg_nb_jours_sem","avg_nb_jours_total","avg_nbr_jours_we","med_nb_sem","med_nb_jours_sem","med_nb_jours_total","med_nbr_jours_we"
"CH01",10790,8.43466172381835,36.9876737720111,48.1727525486562,11.185078776645,5,17,21,4
"CH02",12,3.75,15.8333333333333,21.5833333333333,5.75,2.5,9.5,12.5,3
"CH03",11,6.63636363636364,29.3636363636364,39.4545454545455,10.0909090909091,4,17,22,6
"CH04",1390,6.31079136690648,18.4460431654676,19.4287769784173,0.98273381294964,6,20,20,0
"CH05",617,5.49270664505673,15.0194489465154,16.8541329011345,1.83468395461912,5,14,15,0
"CH06",68,4.47058823529412,19.1176470588235,26.2794117647059,7.16176470588235,4,14,19.5,6
"CH08",23085,2.90764565735326,12.0602988953866,15.0659735759151,3.00567468052848,2,10,12,2
"CH09",212,4.22169811320755,16.872641509434,23.122641509434,6.25,3,11,15,4
"CH10",53,4.71698113207547,18.1132075471698,22.6792452830189,4.56603773584906,3,7,9,0
"CH11",43,4.27906976744186,17.5116279069767,22.7674418604651,5.25581395348837,3,10,14,3
"CH16",14,5.07142857142857,18.4285714285714,23.5714285714286,5.14285714285714,5,17,20,3.5
"CH18",19,5.15789473684211,22.5263157894737,30.9473684210526,8.42105263157895,4,16,23,7
"CH19",594,7.87710437710438,11.4208754208754,12.493265993266,1.07239057239057,2.5,5,5,0
"CH23",271,4.1070110701107,15.3284132841328,19.7859778597786,4.45756457564576,3,9,11,1
"CH27",2,6,10,10,0,6,10,10,0
"CH90",18,1,0,1,1,1,0,1,1
