"T_GN","n","avg_nb_sem","avg_nb_jours_sem","avg_nb_jours_total","avg_nbr_jours_we","med_nb_sem","med_nb_jours_sem","med_nb_jours_total","med_nbr_jours_we"
"GN0103",67,48.5522388059701,240.179104477612,333.059701492537,92.8805970149254,41,200,276,79
"GN0106",86,8.04651162790698,32.3139534883721,40.1860465116279,7.87209302325581,5,18,20.5,2
"GN0109",863,14.7265353418308,69.0857473928158,90.8424101969873,21.7566628041715,8,34,42,8
"GN0112",826,13.4588377723971,61.8680387409201,81.9382566585956,20.0702179176755,8,32,40,8
"GN0115",136,10.8088235294118,48.9779411764706,64.5294117647059,15.5514705882353,7,28,36,7.5
"GN0118",386,3.48186528497409,11.3212435233161,13.8730569948187,2.55181347150259,2,3,3,0
"GN0121",412,8.07766990291262,34.5315533980583,44.0509708737864,9.51941747572816,6,20,26,4.5
"GN0124",343,3.90087463556851,14.2565597667638,17.3381924198251,3.08163265306122,3,8,10,0
"GN0127",51,7.09803921568627,29.9411764705882,41.1372549019608,11.1960784313725,4,15,20,4
"GN0130",2031,6.05662235352043,24.8252092565239,31.0049236829148,6.17971442639094,5,18,20,1
"GN0134",645,12.3193798449612,56.9472868217054,77.1085271317829,20.1612403100775,6,24,32,8
"GN0135",296,7.26689189189189,31.0168918918919,41.0540540540541,10.0371621621622,4,13,16.5,2
"GN0137",803,6.41469489414695,27.5579078455791,36.9128268991283,9.35491905354919,4,15,20,6
"GN0138",560,5.56607142857143,22.4017857142857,28.3410714285714,5.93928571428571,4,13,16,2
"GN0139",76,5.21052631578947,20.8026315789474,26.0394736842105,5.23684210526316,3,11,14.5,1
"GN0145",673,4.2258543833581,15.1307578008915,18.6062407132244,3.47548291233284,2,2,2,0
"GN0146",184,19.3858695652174,93.4673913043478,126.929347826087,33.4619565217391,10,45,58,14
"GN0147",1848,7.47727272727273,32.3695887445887,41.3008658008658,8.93127705627706,5,16,19,2
"GN0148",504,8.1468253968254,35.7936507936508,45.7539682539683,9.96031746031746,5,19.5,23,3
"GN0203",12,3.75,15.8333333333333,21.5833333333333,5.75,2.5,9.5,12.5,3
"GN0303",1,4,17,23,6,4,17,23,6
"GN0306",10,6.9,30.6,41.1,10.5,4.5,18,21,4
"GN0403",23,6,19.5652173913043,20.3913043478261,0.826086956521739,6,20,20,0
"GN0406",1072,6.35541044776119,18.4402985074627,19.3871268656716,0.946828358208955,6,20,20,0
"GN0409",146,6.35616438356164,18.1575342465753,18.1575342465753,0,6,20,20,0
"GN0415",23,5.78260869565217,21.8695652173913,28.4347826086957,6.56521739130435,6,21,27,6
"GN0418",7,7.28571428571429,33.2857142857143,44.8571428571429,11.5714285714286,5,21,29,8
"GN0424",119,5.95798319327731,17.1008403361345,17.9411764705882,0.840336134453782,5,19,19,0
"GN0503",104,6.59615384615385,14.5865384615385,14.9038461538462,0.317307692307692,7.5,17,17,0
"GN0506",67,5.52238805970149,12.4626865671642,12.5074626865672,0.0447761194029851,6,13,13,0
"GN0509",202,6.26732673267327,13.7326732673267,13.9257425742574,0.193069306930693,6,14,14,0
"GN0512",55,4.54545454545455,17.9090909090909,24.4363636363636,6.52727272727273,4,16,22,6
"GN0515",148,3.73648648648649,16.1216216216216,19.7702702702703,3.64864864864865,2,7,8.5,0
"GN0518",29,7.17241379310345,18.9655172413793,22.2068965517241,3.24137931034483,8,19,20,0
"GN0521",12,4.66666666666667,18.3333333333333,23.6666666666667,5.33333333333333,4.5,18.5,19.5,4.5
"GN0603",17,5.05882352941176,21.4117647058824,29.6470588235294,8.23529411764706,4,17,24,7
"GN0612",2,3,11,16,5,3,11,16,5
"GN0615",2,1.5,7.5,9.5,2,1.5,7.5,9.5,2
"GN0617",22,4.77272727272727,20.7727272727273,28.5454545454545,7.77272727272727,4,17,22.5,5.5
"GN0618",3,3.33333333333333,14.3333333333333,19,4.66666666666667,2,9,11,2
"GN0621",22,4.27272727272727,18.1363636363636,24.8636363636364,6.72727272727273,4,14,19.5,5.5
"GN0803",1208,5.41390728476821,24.2152317880795,31.1862582781457,6.97102649006623,4,15,19,4
"GN0818",229,3.23580786026201,12.0349344978166,16.1834061135371,4.14847161572052,3,9,12,2
"GN0821",34,3.26470588235294,13.6764705882353,17.3529411764706,3.67647058823529,1.5,6,7,0
"GN0824",431,3.53132250580046,15.9373549883991,19.7099767981439,3.77262180974478,1,5,5,0
